id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
30793,black,39,married,3,school,12,True,None,4,1,baptist,True,full-time,59,152,20000
30387,black,27,married,3,college,1,False,None,3,1,baptist,True,full-time,65,163,12500
28471,black,42,never married,0,school,12,False,None,1,None,baptist,True,both,107,170,12500
28168,black,35,never married,1,school,12,True,None,1,None,baptist,True,both,116,163,25000
30014,black,29,never married,2,school,12,True,None,2,None,baptist,True,both,104,170,12500
30493,black,26,divorced,2,school,12,False,None,3,1,protestant,True,full-time,75,170,15000
30155,black,36,never married,1,college,3,False,None,1,None,baptist,True,full-time,91,157,12500
28001,black,18,never married,1,school,10,True,None,2,None,baptist,False,None,84,165,None
27236,white,17,informal relationship,1,school,9,True,None,1,None,baptist,True,full-time,None,None,15000
26492,black,20,informal relationship,0,school,11,True,None,1,None,baptist,False,part-time,66,173,7500
30057,black,22,never married,3,school,12,True,None,1,None,baptist,False,None,113,157,None
28223,white,31,divorced,1,college,3,True,Associate,2,1,baptist,True,full-time,79,160,15000
26434,white,34,never married,0,college,7,True,Master,0,None,baptist,True,full-time,125,165,50000
28064,white,27,married,2,school,12,True,None,2,2,baptist,True,full-time,64,165,50000
33078,white,42,married,0,college,1,True,None,1,2,catholic,True,both,118,170,10000
26273,black,21,never married,1,school,12,True,None,1,None,baptist,True,both,76,173,20000
27151,black,38,married,5,school,12,True,None,5,1,baptist,True,full-time,95,165,15000
32377,black,42,married,1,school,12,True,None,2,2,protestant,True,None,82,168,25000
